,Title,Author,ISBN Valid,Publisher,Subjects,i,description,categories,average_rating,ratings_count,page_count,language
7686,La recherche documentaire au service des sciences infirmières et autres professions de santé /,"Favre, Nathalie",9782757308684; 2757308688,Lamarre,Evidence-Based Nursing; Logiciels documentaires; Recherche documentaire; Soins infirmiers; Recherche documentaire automatisée; Bases de données; Internet; Soins infirmiers à domicile,7686,,,,,,
7687,"Faciliter l'intelligence collective : 35 fiches pour innover, co-construire, mettre en action et accompagner le changement /","Crespel, Agathe",9782212568462; 2212568460,Eyrolles,Group Processes; Interpersonal Relations; Organizational Innovation; Teaching; Intelligence collective; Dynamique des groupes; Handbook,7687,,,,,,
7688,"Climat, crises : le plan de transformation de l'économie française /",,9782738154262; 2738154263,Odile Jacob,Écologie humaine--France; Décarbonation--France; Développement économique--Aspect environnemental--France; Économie circulaire--France; Économie de l'environnement,7688,,,,,,
7689,Résonances : la dimension sonore des Alpes /,,9782889012411; 2889012417,Antipodes,Sens et sensations--Valais (Suisse)--1800-....; Sens et sensations--Alpes (chaîne)--1800-....; Musique--Alpes (chaîne)--1800-....; Musique--Valais (Suisse)--1800-....; Sons--Alpes (chaîne)--1800-....; Sons--Valais (Suisse)--1800-....,7689,,,,,,
7690,"L'ajustement dans tous ses états : règles, émotions, distance et engagement dans les activités éducatives d'un centre de jour /",,9782882241238; 2882241232,Editions IES,Adolescents difficiles; Éducateurs spécialisés; Éducation spéciale; Analyse des pratiques (formation),7690,,,,,,
7691,Psychologie des émotions : concepts fondamentaux et implications cliniques /,,9782807315655; 2807315658,De Boeck supérieur,Émotions--Aspect psychologique; Psychologie clinique; Manuels d'enseignement supérieur,7691,,,,,,
7692,Ce que social veut dire /,"Honneth, Axel, 1949-",9782070142965; 2070142965; 9782070143436; 2070143430,Gallimard,Philosophie sociale; École de Francfort (philosophie); Individu et société; Sociologie; Reconnaissance (philosophie); Conflits sociaux,7692,,,,,,
7693,"Espace public, médiations, reconnaissance : éléments de reconstruction d'une théorie critique de la communication /","Voirol, Olivier",,éditeur non identifié,espace public--médiation--reconnaissance; communication--théorie critique; communication--Ecole de Francfort--reconnaissance,7693,,,,,,
7694,"Psychologie différentielle : cours, exercices et QCM corrigés /","Huteau, Michel, psychologue",9782100812950; 2100812955,Dunod,Psychologie différentielle; Questions à choix multiple; Manuels d'enseignement supérieur,7694,,,,,,
7695,Chair vive : poésies complètes /,"Réal, Grisélidis",9782232145469; 2232145468,Seghers,,7695,,,,,,
7696,Identités croisées : roman /,"Coben, Harlan",9782714495099; 2714495095,Belfond,Roman américain; Roman policier,7696,,,,,,
7697,Angélique : roman /,"Musso, Guillaume, 1974-",9782702183687; 2702183689,Calmann-Lévy,Thriller (roman); Roman français,7697,,,,,,
7698,Kaboul beauté institut /,"Amini, Frishta 1998-....",9782749954875; 2749954878,Michel Lafon,,7698,,,,,,
7699,Psychologie du sport /,"Delignières, Didier",9782715404465; 2715404468,Presses universitaires de France,Sportifs--Psychologie; Sports--Aspect psychologique,7699,,,,,,
7700,Le coaching sportif /,"Robinson, Paul E.",9782804171506; 2804171507,De Boeck,Entraîneurs (sports); Entraînement (sports); Accompagnement individuel,7700,,,,,,
7701,Analyse institutionnelle : des outils essentiels pour le management : les concepts et les pratiques au service des managers et des acteurs institutionnels /,"Jouffroy, Gaston",9782952608909; 2952608903; 2952683409; 9782952683401,G Jouffroy,gestion d'entreprise--gestion des ressources humaines--organisation (organisme)--stratégie de l'entreprise--[manuel],7701,,,,,,
7702,Leaderspritz : le cocktail du leadership interpersonnel /,"Schmid Mast, Marianne",9782889152926; 2889152928,Presses polytechniques et universitaires romandes,Group Processes; Handbook; Leadership; Guides pratiques,7702,,,,,,
7703,Manager un projet pas à pas : l'essentiel pour gérer efficacement un projet /,"Thiébaut, Christian",9782367175638; 2367175632,Chronique Sociale,Gestion de projets; Guides pratiques,7703,,,,,,
7704,"Cinéma suisse : une politique culturelle en action : l'Etat, les professionnels, les publics /","Moeschler, Olivier",9782880749163; 2880749166,Presses polytechniques et universitaires romandes,cinéma suisse--politique culturelle; cinéma suisse--20e s.; Cinéma suisse; Politique culturelle; 20e siècle; SUISSE; HISTOIRE DU CINEMA SUISSE; POLITIQUE CULTURELLE; Suisse,7704,,,,,,
7705,Essais /,"Ramuz, Charles Ferdinand 1878-1947",9782051021111; 2051021112; 9782051021135; 2051021139; 9782051021371; 2051021376; 9782051021104; 2051021104; 9782051021128; 2051021120; 9782051021364; 2051021368,Slatkine,Ramuz Charles-Ferdinand,7705,,,,,,
7706,Ramuz : un passager clandestin des Lettres françaises /,"Meizoz, Jérôme",2881822916; 9782881822919,Zoé,"Ramuz, Charles Ferdinand - réception--France; Ramuz, Charles Ferdinand - réception; France",7706,,,,,,
7707,Articles et chroniques /,"Ramuz, Charles Ferdinand 1878-1947",9782051020701; 2051020701; 9782051020725; 2051020728; 9782051020695; 2051020698; 9782051020718; 205102071X; 9782051021029; 2051021023; 9782051021043; 205102104X; 9782051021036; 2051021031; 9782051021050; 2051021058,Slatkine,"Ramuz, Charles Ferdinand - critique littéraire--[anthologie]; Ramuz, Charles Ferdinand - critique d'art--[anthologie]",7707,,,,,,
7708,L'impitoyable aujourd'hui /,"Loyer, Emmanuelle",9782081496767; 2081496763,Flammarion,Littérature et société,7708,,,,,,
7709,Nan Goldin /,"Goldin, Nan, 1953-",0714894796; 9780714894799,Phaidon,"Goldin, Nan - photographie--[photographies]",7709,,,,,,
7710,Schweizer Fotobücher 1927 bis heute : eine andere Geschichte der Fotografie = Livres de photographie suisses de 1927 à nos jours : une autre histoire de la photographie = Swiss photobooks from 1927 to the present : a different history of photography /,,9783037782743; 3037782749,Lars Müller,livre illustré--photographie suisse--1927 / 2010--[catalogue d'exposition],7710,,,,,,
7711,La mise en scène du corps sportif : de la Belle Epoque à l'âge des extrêmes : exposition du 10 octobre 2002 au 23 février 2003: [catalogue] = Spotlighting the sporting body : from the Belle Epoque to the age of extremes /,,9291600717; 9789291600717,Comité International Olympique,Fanck Arnold; Henie Sonja; Riefenstahl Leni; corps humain--mise en scène--sport--19e s. / 20e s. (1ère moitié)--[catalogue d'exposition]; Sports--history; Art--history; Human Body; SPORT; AFFICHE; MUSEE OLYMPIQUE (VD. LAUSANNE); Catalog,7711,,,,,,
7712,'Primitivism' in 20th century art : affinity of the tribal and the modern /,,0870705180; 9780870705182; 0870705342; 9780870705342,Museum of Modern Art,art occidental--art primitif - influence exercée--20e s.--[catalogue d'exposition]; art primitif--primitivisme--20e s.--[catalogue d'exposition],7712,,,,,,
7713,Botticelli : artiste & designer /,,9789462302815; 9462302812,Fonds Mercator,"Botticelli, Sandro; Catalogues d'exposition",7713,,,,,,
7714,"Vies des artistes : (vies des plus excellents peintres, sculpteurs et architectes) /","Vasari, Giorgio, 1511-1574",9782246706915; 2246706912,Grasset,artiste--Italie--Renaissance--[biographie],7714,,,,,,
7715,Botticelli : les allégories mythologiques /,"Acidini Luchinat, Cristina, 1951-",2070117014; 9782070117017,Gallimard,"mythologie--Botticelli, Sandro",7715,,,,,,
7716,Le colibri /,"Dusapin, Élisa Shua, 1992-",9782889085934; 2889085937,La joie de lire,Deuil; Frères et soeurs; Déménagement; Bandes dessinées,7716,,,,,,
7717,Neiges intérieures /,"Subilia, Anne-Sophie",9782889277445; 2889277445,Zoé,,7717,,,,,,
7718,Les printemps sauvages /,"Loup, Douna, 1982-",9782889278541; 2889278549,Zoé,Roman suisse de langue française; [Roman],7718,,,,,,
7719,The age of collage : contemporary collage in modern art /,,9783899554830; 3899554833; 9783899555837; 389955583X,Gestalten,Collage (art); 21e siècle (début),7719,,,,,,
7720,Jacaranda : roman /,"Faye, Gaël",9782246831457; 2246831458,Bernard Grasset,Roman rwandais de langue française; Roman français; Rwanda; Génocide des Tutsi (1994); Roman,7720,,,,,,
7721,Lousonna: la ville gallo-romaine et le musée /,,,Association Pro Lousonna et autres,"Musée romain de Lausanne-Vidy (Lausanne)--[guide]; Lausanne (Suisse, VD) - Vidy--* archéologie",7721,,,,,,
7722,"Passé présent : ""Lousonna"" ou l'Antiquité d'actualité /",,2884741089; 9782884741088,Infolio,"art romain antique--Musée romain de Lausanne-Vidy (Lausanne); mobilier archéologique romain antique--Musée romain de Lausanne-Vidy (Lausanne); Lausanne (Suisse, VD)--* archéologie--époque des conquêtes romaines",7722,,,,,,
7723,Le dernier message : roman /,"Beuglet, Nicolas",9782374482132; 2374482138,XO Editions,Thriller (littérature),7723,,,,,,
7724,Enfouis /,"La Plante, Lynda",9782809846904; 2809846901,Archipel,,7724,,,,,,
7725,Histoire des jardins /,"Prévot, Philippe",9782841388233; 2841388239,Ulmer,Jardins - Aménagement végétal; Jardins; Parcs; Espaces verts; Histoire; Jardins à l'anglaise; Jardins à la française; Jardins à l'italienne; Jardins à la chinoise; Jardins à la japonaise; Art des jardins; Art déco,7725,,,,,,
7726,Ecumes /,"Chabbert, Ingrid 1978-....",9782368464700; 2368464700,Steinkis,"Reproductive Techniques, Assisted; Fetal Mortality; Bereavement; Graphic Novel; Procréation médicalement assistée--Bandes dessinées.; Foetus--Mort--Bandes dessinées.; Deuil--Bandes dessinées.; Bandes dessinées.",7726,,,,,,
7727,"Une saison en Éthiopie : Chinafrique, état d'urgence et macchiato /","Lebhour, Karim, 1974-",9782368465387; 2368465383,Steinkis,Relations internationales--2001-....; Diplomatie; Chine--Relations extérieures--Éthiopie; Ethiopie--Relations extérieures--Chine,7727,,,,,,
7728,La bibliothèque /,Chihoi 1977-,9782889231034; 2889231038,Atrabile,[Bandes dessinées],7728,,,,,,
7729,Tif et Tondu : l'intégrale /,"Will, 1927-2000",9782800160771; 2800160772; 9791034730131; 9791034737284; 9791034737291; 9791034757435; 9791034762842,Dupuis,Bandes dessinées,7729,,,,,,
7730,Et pour le pire /,"Dodier, Alain",9.79103E+12,Dupuis,[Bandes dessinées],7730,,,,,,
7731,Luisa ici et là /,"Maurel, Carole, animatrice et auteure de bande dessinée, 1980-",9782849532263; 2849532266,La boîte à bulles,Bandes dessinées,7731,,,,,,
7732,Carole : ce que nous laissons derrière nous /,"Fabre, Clément C.",9782205202366; 2205202367,Dargaud,Turquie; Bandes dessinées,7732,,,,,,
7733,Le printemps de Sakura /,"Jaffredo, Marie, 1966-",9782749309415; 2749309417,Vents d'Ouest,Deuil; Bandes dessinées,7733,,,,,,
7734,La louve boréale /,"Tamarit, Núria",9782377318001; 2377318002,Sarbacane,Bandes dessinées,7734,,,,,,
7735,Français 11e : livre unique /,,9782218946127; 2218946122; 9782218946264; 2218946262,Conférence Intercantonale de l'Instruction publique de la Suisse romande et du Tessin; Hatier,français (langue)--[manuel],7735,,,,,,
7736,Les 50 mots essentiels de la spiritualité /,"Filliot, Philippe",2226453326; 9782226453327,Albin Michel,Spiritualité.,7736,,,,,,
7737,La mort frappe aussi les gens heureux : une nouvelle enquête d'Hercule Poirot /,"Hannah, Sophie",9782702451687; 2702451683,Le Masque,,7737,,,,,,
7738,"L'atelier du langage 11e : grammaire, vocabulaire, orthographe, conjugaison /",,9782218946240; 2218946246; 9782218946110; 2218946114,Conférence intercantonale de l'instruction publique de la Suisse et du Tessin; Hatier,Français (langue); Grammaire; Vocabulaire; Orthographe; Conjugaison; [Manuels d'enseignement secondaire]; [Problèmes et exercices]; Manuels d'enseignement secondaire,7738,,,,,,
7739,Histoire 11e : sciences humaines et sociales - cycle 3 : livre de l'élève /,,9782885004113; 2885004118,CIIP Conférence intercantonale de l'instruction publique de la Suisse romande et du Tessin,Histoire moderne et contemporaine; Art--Histoire; Art moderne; Histoire (discipline)--Étude et enseignement (secondaire),7739,,,,,,
7740,Un monde bascule : la Suisse de 1910 à 1919 /,"Praz, Anne-Françoise, 1957-",,Eiselé,monde--Suisse--1910 / 1919--[photographies]; Suisse--1910 / 1919--[chronologie],7740,,,,,,
7741,Regard sur une Belle Epoque : la Suisse de 1900 à 1909 /,"Praz, Anne-Françoise, 1957-",,Eiselé,monde--Suisse--1900 / 1909--[chronologie]; Suisse--1900 / 1909--[photographies],7741,,,,,,
7742,Avenir incertain... vivons au présent ! : la Suisse de 1980 à 1989 /,"Praz, Anne-Françoise, 1957-",,Eiselé,Suisse--1980 / 1989--[chronologie],7742,,,,,,
7743,De Katmandou à Kaiseraugst : la Suisse de 1970 à 1979 /,"Praz, Anne-Françoise, 1957-",,Eiselé,Suisse--1970 / 1979--[chronologie],7743,,,,,,
7744,Dissidents du quotidien : la scène alternative genevoise 1968-1987 /,"Gros, Dominique, sociologue",2829000919; 9782829000911,Ed d'en bas,"mouvement social alternatif--Genève (Suisse, canton)--1968 / 1987",7744,,,,,,
7745,Histoires de mobilisation politique en Suisse : de la contestation à l'intégration /,"Giugni, Marco",2738457029; 9782738457028,L'Harmattan Inc; L'Harmattan,mouvement social--Suisse--20e s. (fin); Mouvements sociaux; Participation politique; 20e siècle (fin); Suisse,7745,,,,,,
7746,L'enquête et ses méthodes : l'entretien /,"Blanchet, Alain",2091906522; 9782091906522,Nathan,enquête sociologique--entretien--méthodologie--[manuel],7746,,,,,,
7747,Cours de sociologie /,"Van Campenhoudt, Luc, 1947-",9782100793075; 2100793071,Dunod,Sociologie; Sociologie--Manuels d'enseignement supérieur.; Manuels d'enseignement supérieur,7747,,,,,,
7748,Guide de l'enquête de terrain : produire et analyser des données ethnographiques /,"Beaud, Stéphane",9782707160089; 2707160083,La Découverte,Enquêtes de terrain (ethnologie); Recherche sur le terrain; Sciences sociales; Méthodologie; Enquêtes sociologiques; [Manuels d'enseignement supérieur],7748,,,,,,
7749,Ecrits sur le théâtre /,"Meĭerkholʹd, Vsevolod Ėmilʹevich",2825115711; 9782825115718; 9782825137802; 2825137804,L'Age d'homme,,7749,,,,,,
7750,La recherche en psychologie : méthodologie et statistique /,,2872096124; 9782872096121,Bruylant-Academia,méthodologie--psychologie--recherche scientifique; psychologie--statistique,7750,,,,,,
7751,Méthodologie en psychologie /,"Guéguen, Nicolas",9782100505500; 2100505505,Dunod,psychologie--* méthodologie--[manuel],7751,,,,,,
7752,Introduction aux statistiques en psychologie : méthodologie et analyse de données /,"Baggio, Stéphanie",9782804162672; 2804162672,De Boeck,psychologie--statistique descriptive--[manuel],7752,,,,,,
7753,Quand les récits de pratique enseignante parlent d'apprentissage /,"Pasquini, Raphaël",9782763718750; 2763718752; 9782763718767; 2763718760,Presses de l'Université Laval,Enseignants; Pédagogie; Pratique; Analyse des pratiques (formation); Classes (éducation)--Conduite; [Récits personnels],7753,,,,,,
7754,La construction des inégalités scolaires : au coeur des pratiques et des dispositifs d'enseignement /,,9782753517189; 2753517185,Presses Universitaires,égalité des chances--élève--enseignant--pratique professionnelle - analyse--[études diverses],7754,,,,,,
7755,Vers le plurilinguisme ? : vingt ans après /,,9782813001337; 2813001333,Ed des archives contemporaines,Multilinguisme; Langues; Didactique; Langues vivantes; Enseignement multilingue; [Actes de congrès],7755,,,,,,
7756,"Différencier pour aider l'élève à lire et comprendre les textes : CE2-CM1 : compréhension, écriture, enrichissement lexical /","Cabrol, Alex",9782725640211; 2725640210,Retz,Lecture--Étude et enseignement (primaire); Communication écrite--Étude et enseignement (primaire); Lecture--Pédagogie de soutien,7756,,,,,,
7757,Zoom 2 : méthode de français : [A1.2] : [Livre de l'élève] /,,9788416657988; 841665798X,La Maison des langues,Enseignement du français; Manuels pour allophones,7757,,,,,,
7758,Rani Lakshmi Bai : la séditieuse /,"Delalande, Arnaud",9782413044482; 2413044485; 9782413077220; 2413077227,Delcourt,Bandes dessinées,7758,,,,,,
7759,Milton chez le voisin /,"Ardalan, Haydé",9782889086078; 2889086070,La Joie de lire,Chats; Ouvrages pour la jeunesse; Livres d'images; Littérature suisse de langue française pour la jeunesse,7759,,,,,,
7760,Mon grand livre des contes et légendes suisses /,"Kormann, Denis",9782940481248; 2940481245; 9782940481491; 2940481490; 9782940673902; 294067390X,Helvetiq,Créatures fabuleuses; Contes suisses; Ouvrages pour la jeunesse,7760,,,,,,
7761,La différenciation du soi : les triangles et les systèmes émotifs familiaux /,"Bowen, Murray",,Ed ESF,soi - différenciation--structure familiale--thérapie familiale; émotion--famille--personnalité--séparation (psychologie),7761,,,,,,
7762,Le jour où les liens se tissent /,Béka,9782818997802; 2818997801,Bamboo Edition,Bonheur (philosophie); Bandes dessinées,7762,,,,,,
7763,La force majeure /,"Rosset, Clément",2707306584; 9782707306586,Les Editions de Minuit,"Nietzsche, Friedrich; joie--* philosophie",7763,,,,,,
7764,La tour de Bab-el-Oued /,"Sfar, Joann",9782205075885; 2205075888,Dargaud,Judaïsme; Bandes dessinées,7764,,,,,,
7765,Les yeux fermés /,"Magontier, Baptiste",9782808503273; 280850327X,Dupuis,,7765,,,,,,
7766,La Bhagavad-Gītā /,,9782757814833; 2757814834,Points,"""Bhagavad-gīta""; [Commentaires]",7766,,,,,,
7767,Reconstruire après les traumatismes : de la maltraitance domestique aux violences sociales /,"Herman, Judith Lewis",9782729623128; 2729623124,InterEditions,Traumatisme; Violence,7767,,,,,,
7768,La haine de l'amour : la perversion du lien /,"Hurni, Maurice",2738444377; 9782738444370,L'Harmattan,couple--relations hommes-femmes--* psychanalyse; conflit conjugal--* psychanalyse; couple--perversion; conflit conjugal--psychiatrie psychanalytique; Interpersonal Relations; Personality Disorders; Personality Disorders--therapy; Personality Disorders--pathology; Personality Disorders--complications,7768,,,,,,
7769,Atlas des bouts du monde /,"Reguet, Bruno",9782381820149; 2381820140,Lapérouse,Atlas,7769,,,,,,
7770,Genève insolite et secrète /,"Vellas, Christian, 1937-",9782361955588; 236195558X,Editions Jonglez,"Genève (Suisse, ville); Guides touristiques et de visite",7770,,,,,,
7771,"Les secrets de la photo de rue : approche, pratique, éditing /","Lepetit-Castel, Gildas, 1979-",9782416005565; 2416005561,Eyrolles,Photographie de rue; Guides pratiques,7771,,,,,,
7772,"Plantes & jardins de sorcières : dans le floklore, la magie et la médecine traditionnelle /","Lawrence, Sandra",9782263175206; 2263175202,Solar,[Ouvrages illustrés]; Événement; Légendes; Sorcières; Folklore; Médecine populaire; Magie,7772,,,,,,
7773,Des lumières et des ombres /,"Alekan, Henri",9.79104E+12,La Table Ronde,Cinéma--Éclairage.; Directeurs de la photographie.; Cinéma--Technique.; Photographie--Éclairage.; Ombres--Dans l'art.; Lumière--Dans l'art.,7773,,,,,,
7774,"Sexus Botanicus : volupté végétale, excentricité organique, orgie florale… /","Anton, Joanne 1974-....",9782081515505; 2081515504,Arthaud,Plantes--Reproduction (biologie),7774,,,,,,
7775,"Arnaques, dragues et botanique : imagier de plantes incongrues /","Mathias, Xavier, 1970-.....",9782360987344; 2360987348,Terre vivante,Plantes.; Plantes--Moyens de défense.; Anecdotes.,7775,,,,,,
7776,Madère : 2023-2024,,9782017221999; 2017221996,Hachette tourisme 2023,Madère (Portugal); Guides touristiques et de visite,7776,,,,,,
7777,Gardiens du silence,,9783858818928; 3858818925,Schneidegger & Spiess; Musée Jenisch,,7777,,,,,,
7778,Le Valais gourmand /,"Fournier, Jean-François",9782940637515; 2940637512,Edition Château & Attinger,Cuisine--Valais (Suisse),7778,,,,,,
7779,Tina Modotti /,,208043182X; 9782080431820,Fundación MAPFRE; Flammarion; Jeu de paume,"Modotti, Tina; Catalogues d'exposition",7779,,,,,,
7780,"Ceci est mon sang : petite histoire des règles, de celles qui les ont et de ceux qui les font /","Thiébaut, Elise",9782707192929; 2707192929,La Découverte,Culture; Menstrual Cycle; Sexuality; Sexualité féminine; Cycle menstruel; Rites et cérémonies; Menstruation,7780,,,,,,
7781,Stigmate : [les usages sociaux des handicaps] /,"Goffman, Erving",2707300799; 9782707300799,Les Editions de Minuit,Stigmatisation (psychologie sociale); Handicap--Sociologie; Identité collective; handicapé--stigmatisation (psychologie sociale); inadapté social--* psychologie sociale; handicapé--* psychologie sociale; Social Identification; Prejudice,7781,,,,,,
7782,"La région, espace vécu /","Frémont, Armand",9782081218727; 2081218720,Flammarion,Quartiers durables; espace géographique--région; perception de l'espace--région,7782,,,,,,
7783,L'ennemi principal /,"Delphy, Christine",9782849503942; 2849503940; 9782849503959; 2849503959,Ed Syllepse,Femmes; Conditions sociales; Théorie féministe; Féminisme; Discrimination sexuelle; Patriarcat (sociologie); Économie domestique; Rôle selon le sexe; Études sur les femmes,7783,,,,,,
7784,Droit des sociétés /,"Ruedin, Roland",3727223537; 9783727223532,Stämpfli,société (droit)--Suisse--[manuel]; Gesellschaftsrecht; Schweiz; Grundlagenwerk,7784,,,,,,
7785,Recueil de contrats commerciaux : modèles en français et en anglais commentés selon le droit suisse /,,9783719029708; 3719029700,Helbing Lichtenhahn,Contrats internationaux; Commerce international; Français (langue); Anglais (langue); Droit; Handelsrecht; Sprache; Französisch; Englisch; Suisse; Schweiz; [Formulaires]; Musterbuch; Kommentar(Werk),7785,,,,,,
7786,Des imaginaires aux réalités conjugales et familiales : perspectives interdisciplinaires et internationales  /,,9782760555112; 2760555119,Presses de l'Université du Québec,Familles.; Couples.; Condition de parents.; Maternité.; Families; Couples; Parenthood; Motherhood; Familles; Familles--Histoire; Familles--Aspect psychologique; Condition de parents; Maternité; Famille--Histoire; Psychologie de la famille,7786,,,,,,
7787,L'amour individualiste : comment le couple peut-il survivre ? /,"Neyrand, Gérard",2749257719; 9782749257716,Érès éditions,Couples--Sociologie,7787,,,,,,
7788,Journal de bord d'un transclasse : récit d'une improbable traversée des classes sociales /,"Fusulier, Bernard",9782875574152; 2875574159,La Boîte à Pandore,Inégalité sociale--Récits personnels; Mobilité sociale--Récits personnels; Classes sociales--Récits personnels,7788,,,,,,
7789,La philosophie des sociologues : une épistémologie du sujet et de l'objet /,"Farrugia, Francis",9782343256252; 234325625X,l'Harmattan,Épistémologie des sciences sociales,7789,,,,,,
7790,Les logiques sociales de l'imaginaire /,,9782343219370; 2343219370,L'Harmattan,Représentations sociales; Imaginaire (philosophie),7790,,,,,,
7791,"Les émotions collectives : en quête d'un ""objet"" impossible /",,9782713228094; 2713228093,2020; Editions de l'Ecole des Hautes Etudes en Sciences Sociales,Émotions--Sociologie; Émotions--Aspect politique,7791,,,,,,
7792,Georg Simmel le social en mouvement : Individualisme et modernité /,,9.79103E+12,Presses universitaires de Strasbourg,"Simmel, Georg--(1858-1918); Biographie",7792,,,,,,
7793,Sociologie du cinéma et de ses publics /,"Ethis, Emmanuel",2200621116; 9782200621117,Armand Colin,Cinéma--Sociologie--France; Cinéma et société--France; Cinéma--Publics--France; Cinéma--Appréciation--France,7793,,,,,,
7794,La valeur des personnes : preuves et épreuves de la grandeur /,"Heinich, Nathalie",9782072948312; 2072948312,Gallimard,Dignité humaine; Personne (philosophie); Philosophie de l'homme; Reconnaissance (philosophie); Valeur--Aspect social,7794,,,,,,
7795,Sociologie des émotions /,,9782807337855; 2807337856,De Boeck supérieur,Émotions--Sociologie; Manuels d'enseignement supérieur,7795,,,,,,
7796,Des montagnards endiablés : chasse aux sorciers dans la vallée de Chamonix (1458-1462) /,"Dunand, Carine",2940110638; 9782940110636,Univ de Lausanne-Section d'histoire,"lutte contre la sorcellerie--Chamonix (France, vallée)--1458 / 1462; procès--sorcellerie--Chamonix (France, vallée)--1458 / 1462; sorcellerie - répression--Chamonix (France, vallée)--Genève (diocèse)--1458 / 1468; Chamonix (France, vallée)--Moyen-Âge--1458 / 1468",7796,,,,,,
7797,"Transmission, mémoire et reconnaissance /",,9782827110698; 2827110695,Academic Press Fribourg / Saint-Paul,identité--mémoire--transmission--[études diverses],7797,,,,,,
7798,Adieu les enfants /,"Becquelin, Hélène",9782889011469; 2889011461; 9782889011636; 2889011631,Antipodes,Enfants; Bandes dessinées; Récits personnels,7798,,,,,,
7799,Astra : roman /,"Bowers, Cedar",9782351783047; 2351783042,Gallmeister,,7799,,,,,,
7800,La fille aux abeilles /,"Rebetez, Monique",9782828920852; 2828920852,Editions Favre,,7800,,,,,,
7801,"Le péché originel d'Israël : l'expulsion des Palestiniens revisitée par les ""nouveaux historiens"" israéliens /","Vidal, Dominique, 1950 18 juin-",2708236156; 9782708236158,Les Ed Ouvrières; Les Ed de l'Atelier,Palestinien (peuple) - expulsion--Israël--1947 / 1948; Israël--1947 / 1948,7801,,,,,,
7802,Maisons de campagne genevoises du XVIIIe siècle /,"Amsler, Christine",,Arts graphiques J Genoud; Domus Antiqua Helvetica,"maison de campagne--Genève (Suisse, canton)--18e s.",7802,,,,,,
7803,Les maisons rurales du canton de Genève /,"Roland, Isabelle",2832102573; 9782832102572; 3908122422; 9783908122425,Société suisse des traditions populaires; Slatkine,"maison rurale--Genève (Suisse, canton)",7803,,,,,,
7804,"Chalets alpins, chalets urbains",,,Association Edimento - pour le patrimoine,,7804,,,,,,
7805,Jours fastes : correspondance 1942-1979 /,"Bille, Stéphanie Corinna, 1912-1979",9782889272990; 2889272990; 9782889273294; 2889273296,Zoé,"Bille, Corinna; Chappaz, Maurice; [Correspondance]",7805,,,,,,
7806,Démocratie et éducation ; suivi de Expérience et éducation /,"Dewey, John",9782200621896; 2200621892,Armand Colin,Pédagogie; Éducation--Philosophie,7806,,,,,,
7807,Capabilités : comment créer les conditions d'un monde plus juste ? /,"Nussbaum, Martha Craven",9782081270770; 2081270773,Climats,Justice sociale; Philosophie sociale; Normes sociales; Aptitude; Droits de l'homme; Capabilités; Développement humain,7807,,,,,,
7808,La Fabrique des singularités : postures littéraires II /,"Meizoz, Jérôme",9782051021609; 2051021600,Slatkine,écrivain--littérature d'expression française--18e s. / 20e s.; auteur--sociologie de la littérature; auteur--rôle (sociologie),7808,,,,,,
7809,"La littérature ""en personne"" : scène médiatique et formes d'incarnation /","Meizoz, Jérôme",9782051027601; 2051027609,Slatkine,Écrivains; Médias; Création littéraire; Incarnation; Littérature; Vie littéraire; Spectacles et divertissements; Littérature française; 20e siècle-21e siècle (début); Écrivains français--20e siècle; Écrivains français--2000-....; Écrivains suisses de langue française--20e siècle; Écrivains suisses de langue française--2000-....; Médias et littérature; Auteur (esthétique),7809,,,,,,
7810,Les cadres de l'expérience /,"Goffman, Erving",2707313726; 9782707313720,Les Ed de minuit,expérience (philosophie)--réalité--société (milieu humain); expérience (philosophie)--individu; ethnométhodologie--vie quotidienne,7810,,,,,,
7811,L'en vert de nos corps /,"Acker, Christine Van",9782930822150; 2930822155,L'arbre de Diane,,7811,,,,,,
7812,Oeuvres en prose / [Appendices: Essai sur la littérature sotadique au XIXe siècle ; L'Arétin et son temps ; Les fleurs du mal ; Lettre à Louis Chadourne] ; [Textes érotiques:,"Apollinaire, Guillaume",2070113213; 9782070113217,Gallimard,,7812,,,,,,
7813,Oeuvres en prose /,"Apollinaire, Guillaume",2070112160; 9782070112166,Gallimard,,7813,,,,,,
7814,"Littératures intimes : les expressions du ""moi"", de l'autobiographie à l'autofiction /","Hubier, Sébastien",2200263333; 9782200263331,A Colin,autobiographie; roman autobiographique,7814,,,,,,
7815,L'art de marcher : essai /,"Solnit, Rebecca",2742735844; 9782742735846,Actes Sud,marche (activité physique); marche (activité physique)--* poétique,7815,,,,,,
7816,Au nord tes parents /,"Mouton, Antoine",9782376651420; 2376651425,la Contre-allée,,7816,,,,,,
7817,Swiss law of contracts : general principles /,"Kuonen, Nicolas 19..-....",9783725587346; 3725587345,Schulthess Editions romandes,allgemeiner Teil des Obligationenrechts; Lehrmittel; Contrats; Liberté contractuelle; Négociations; Responsabilité civile; Droit civil; Vertragsrecht; Suisse; Schweiz; [Manuels d'enseignement supérieur],7817,,,,,,
