,Title,Author,ISBN Valid,Publisher,Subjects,i,titles_cleaned,subjects_cleaned,authors_cleaned,concepts
9805,Nouvelle histoire de la Suisse et des Suisses.,,2601003030; 9782601003031,Payot,Suisse--19e siècle; Suisse--20e siècle; Geschichte; Schweizergeschichte; Suisse--1848 / 1980; Schweiz,9805,Nouvelle histoire de la Suisse et des Suisse,suisse--e siècle geschichte schweizergeschichte suisse-- schweiz,,Nouvelle histoire de la Suisse et des Suisse  suisse--e siècle geschichte schweizergeschichte suisse-- schweiz
9806,1968-1978 : ein bewegtes Jahrzehnt in der Schweiz = une décennie mouvementée en Suisse /,,9783034009744; 3034009747,Chronos,contestation politique--contre-culture--mouvement social alternatif--Suisse--1968 / 1978--[congrès]; féminisme--mouvement social alternatif--Suisse--1968 / 1978--[congrès]; Mouvements étudiants; Jeunesse - Contestation; Résistance politique; Mouvements alternatifs (politique); Féminisme; Contre-culture; 1968; Suisse--mai 1968--[congrès]; Suisse; [Actes de congrès],9806,1968-1978 : ein bewegtes Jahrzehnt in der Schweiz = une décennie mouvementée en Suisse,contestation politique--contre-culture--mouvement social alternatif--suisse-- --congrès féminisme--mouvement mouvements étudiants jeunesse - résistance politique alternatifs féminisme contre-culture suisse--mai suisse actes congrès,,1968-1978 : ein bewegtes Jahrzehnt in der Schweiz = une décennie mouvementée en Suisse  contestation politique--contre-culture--mouvement social alternatif--suisse-- --congrès féminisme--mouvement mouvements étudiants jeunesse - résistance politique alternatifs féminisme contre-culture suisse--mai suisse actes congrès
9807,"""Swiss made"" : Pro Helvetia et l'image de la Suisse à l'étranger (1945-1990) /","Kadelbach, Thomas, 1979-",9782940489046; 2940489041,Éditions Alphil - Presses universitaires suisses,Pro Helvetia (Suisse); Centre culturel suisse (Paris); Relations culturelles; Diffusion de la culture; 1945-1990; PRO HELVETIA (ZH. ZUERICH); POLITIQUE CULTURELLE; Suisse - image; [Thèses et écrits académiques],9807,"""Swiss made"" : Pro Helvetia et l'image de la Suisse à l'étranger (1945-1990)",pro helvetia suisse centre culturel paris relations culturelles diffusion culture - zh zuerich politique culturelle image thèses écrits académiques,kadelbach thomas -,"""Swiss made"" : Pro Helvetia et l'image de la Suisse à l'étranger (1945-1990) kadelbach thomas - pro helvetia suisse centre culturel paris relations culturelles diffusion culture - zh zuerich politique culturelle image thèses écrits académiques"
9808,Histoire de la décolonisation au XXe siècle /,"Droz, Bernard",9782757812174; 2757812173,Ed du Seuil,Décolonisation; 20e siècle,9808,Histoire de la décolonisation au XXe siècle,décolonisation e siècle,droz bernard,Histoire de la décolonisation au XXe siècle droz bernard décolonisation e siècle
9809,Die internationale Schweiz in der Zeit des Kalten Krieges = Relations internationales de la Suisse durant la guerre froide /,,9783796527272; 3796527272,Schwabe,guerre froide--relations internationales--Suisse--[études diverses],9809,Die internationale Schweiz in der Zeit des Kalten Krieges = Relations internationales de la Suisse durant la guerre froide,guerre froide--relations internationales--suisse--études diverses,,Die internationale Schweiz in der Zeit des Kalten Krieges = Relations internationales de la Suisse durant la guerre froide  guerre froide--relations internationales--suisse--études diverses
9810,Schweiz-USA im kalten Krieg = Suisse-USA dans la guerre froide /,,,Chronos,Guerre froide; Énergie nucléaire; guerre froide--relations internationales--Etats-Unis--Suisse--[études diverses]; Suisse; Etats-Unis,9810,Schweiz-USA im kalten Krieg = Suisse-USA dans la guerre froide,guerre froide énergie nucléaire froide--relations internationales--etats-unis--suisse--études diverses suisse etats-unis,,Schweiz-USA im kalten Krieg = Suisse-USA dans la guerre froide  guerre froide énergie nucléaire froide--relations internationales--etats-unis--suisse--études diverses suisse etats-unis
9811,D'après une histoire vraie : roman /,"Vigan, Delphine de, 1966-",9782709648523; 2709648520,Lattès,Littérature française; Autobiographie; Roman,9811,D'après une histoire vraie : roman,littérature française autobiographie roman,vigan delphine -,D'après une histoire vraie : roman vigan delphine - littérature française autobiographie roman
9812,Maths : La méthode de Singapour : CE1 : Fichier photocopiable /,,9782369404149; 2369404140,La Librairie des écoles,Mathématiques; Manuels d'enseignement primaire,9812,Maths : La méthode de Singapour : CE1 : Fichier photocopiable,mathématiques manuels denseignement primaire,,Maths : La méthode de Singapour : CE1 : Fichier photocopiable  mathématiques manuels denseignement primaire
9813,Réussir son entrée en grammaire CE1 : cahier de l'élève /,"Bellanger, Françoise",9782725641645; 2725641640,Retz,Grammaire française--Étude et enseignement (primaire); Conjugaison française--Étude et enseignement (primaire); Manuels d'enseignement primaire,9813,Réussir son entrée en grammaire CE1 : cahier de l'élève,grammaire française--étude enseignement primaire conjugaison manuels denseignement,bellanger françoise,Réussir son entrée en grammaire CE1 : cahier de l'élève bellanger françoise grammaire française--étude enseignement primaire conjugaison manuels denseignement
9814,L'enseignement explicite des comportements : pour une gestion efficace des élèves en classe et dans l'école /,"Bissonnette, Steve",9782765051817; 276505181X,Chenelière éducation,Classes (éducation)--Conduite; Élèves--Attitudes; Psychologie de l'apprentissage,9814,L'enseignement explicite des comportements : pour une gestion efficace des élèves en classe et dans l'école,classes éducation--conduite élèves--attitudes psychologie lapprentissage,bissonnette steve,L'enseignement explicite des comportements : pour une gestion efficace des élèves en classe et dans l'école bissonnette steve classes éducation--conduite élèves--attitudes psychologie lapprentissage
9815,Inoubliables /,"Toulmé, Fabien, 1980-",9.79103E+12,Editions Dupuis,Bandes dessinées,9815,Inoubliables,bandes dessinées,toulmé fabien -,Inoubliables toulmé fabien - bandes dessinées
9816,Bienvenue dans la nouvelle révolution quantique /,"Bobroff, Julien, 1971-",2080270400; 9782080270405,Flammarion,Théorie quantique; Ouvrages de vulgarisation,9816,Bienvenue dans la nouvelle révolution quantique,théorie quantique ouvrages vulgarisation,bobroff julien -,Bienvenue dans la nouvelle révolution quantique bobroff julien - théorie quantique ouvrages vulgarisation
9817,25 énigmes ludiques pour s'initier à la cryptographie /,"Lafourcade, Pascal",9782100824304; 2100824309,Dunod,Cryptographie; Devinettes et énigmes; Manuels d'amateurs,9817,25 énigmes ludiques pour s'initier à la cryptographie,cryptographie devinettes énigmes manuels damateurs,lafourcade pascal,25 énigmes ludiques pour s'initier à la cryptographie lafourcade pascal cryptographie devinettes énigmes manuels damateurs
9818,Romance dawn : à l'aube d'une grande aventure /,"Oda, Eiichirō mangaka 1975-....",9782723488525; 2723488527,Glénat,Shônen; Bandes dessinées--Mangas,9818,Romance dawn : à l'aube d'une grande aventure,shônen bandes dessinées--mangas,oda eiichirō mangaka -,Romance dawn : à l'aube d'une grande aventure oda eiichirō mangaka - shônen bandes dessinées--mangas
9819,Luffy versus la bande à Baggy !! /,"Oda, Eiichirō mangaka 1975-....",9782723489898; 2723489892,Glénat,Shônen; Bandes dessinées; Mangas,9819,Luffy versus la bande à Baggy !!,shônen bandes dessinées mangas,oda eiichirō mangaka -,Luffy versus la bande à Baggy !! oda eiichirō mangaka - shônen bandes dessinées mangas
9820,Ma vie sans gravité /,"Pesquet, Thomas 1978-....",9782080423030; 2080423037,Flammarion,Autobiographie; Conquête de l'espace; Astronomie; Spationautes; Récits personnels,9820,Ma vie sans gravité,autobiographie conquête lespace astronomie spationautes récits personnels,pesquet thomas -,Ma vie sans gravité pesquet thomas - autobiographie conquête lespace astronomie spationautes récits personnels
9821,Une vérité qui blesse /,"Oda, Eiichirō mangaka 1975-....",9782723489904; 2723489906,Glénat,Bandes dessinées; Mangas,9821,Une vérité qui blesse,bandes dessinées mangas,oda eiichirō mangaka -,Une vérité qui blesse oda eiichirō mangaka - bandes dessinées mangas
9822,Naples insolite et secrète /,"Ceva Grimaldi, Valerio",9782361956349; 2361956349,,Naples (Italie); Guides touristiques et de visite,9822,Naples insolite et secrète,naples italie guides touristiques visite,ceva grimaldi valerio,Naples insolite et secrète ceva grimaldi valerio naples italie guides touristiques visite
9823,Palimpsestes : la littérature au second degré /,"Genette, Gérard",2020061163; 9782020061162,Seuil,imitation--littérature--texte; pastiche; parodie; intertextualité,9823,Palimpsestes : la littérature au second degré,imitation--littérature--texte pastiche parodie intertextualité,genette gérard,Palimpsestes : la littérature au second degré genette gérard imitation--littérature--texte pastiche parodie intertextualité
9824,Reproducing images and texts = La reproduction des images et des textes /,,9789004468320; 9004468323,Brill,Art et littérature; Reproduction (art); Art and literature; Art objects--Reproduction; Visual communication; Art objects--Reproduction--Congresses.; Art and literature--Congresses.; Visual communication--Congresses.; Objets d'art--Reproduction--Congrès.; Art et littérature--Congrès.; Communication visuelle--Congrès.; Actes de congrès; Conference papers and proceedings,9824,Reproducing images and texts = La reproduction des images et des textes,art littérature reproduction and literature objects--reproduction visual communication objects--reproduction--congresses literature--congresses communication--congresses objets dart--reproduction--congrès littérature--congrès visuelle--congrès actes congrès conference papers proceedings,,Reproducing images and texts = La reproduction des images et des textes  art littérature reproduction and literature objects--reproduction visual communication objects--reproduction--congresses literature--congresses communication--congresses objets dart--reproduction--congrès littérature--congrès visuelle--congrès actes congrès conference papers proceedings
9825,Photographie et exposition /,,9782865891047; 2865891046,Association Transbordeur; Macula,Photographie en muséologie; Photographie--Histoire; Photographie et histoire--Expositions,9825,Photographie et exposition,photographie muséologie photographie--histoire histoire--expositions,,Photographie et exposition  photographie muséologie photographie--histoire histoire--expositions
9826,Suisse - Afrique (18e-20e siècles) : de la traite des Noirs à la fin du régime de l'apartheid = Schweiz - Afrika (18.-20. Jahrhundert) : vom Sklavenhandel zum Ende des Apartheid-Regimes /,,3825877949; 9783825877941; 9873825877949,LIT,Relations extérieures--Suisse--Afrique--1800-....; relations internationales--Afrique--Suisse--18e s. / 20e s.--[congrès]; Actes de congrès,9826,Suisse - Afrique (18e-20e siècles) : de la traite des Noirs à la fin du régime de l'apartheid = Schweiz - Afrika (18.-20. Jahrhundert) : vom Sklavenhandel zum Ende des Apartheid-Regimes,relations extérieures--suisse--afrique--- internationales--afrique--suisse--e s e s--congrès actes congrès,,Suisse - Afrique (18e-20e siècles) : de la traite des Noirs à la fin du régime de l'apartheid = Schweiz - Afrika (18.-20. Jahrhundert) : vom Sklavenhandel zum Ende des Apartheid-Regimes  relations extérieures--suisse--afrique--- internationales--afrique--suisse--e s e s--congrès actes congrès
9827,La Compagnie genevoise des Colonies suisses de Sétif (1853-1956) : un cas de colonisation privée en Algérie /,"Lützelschwab, Claude",3039111469; 9783039111466,Peter Lang,"Compagnie genevoise de Sétif (Genève); Colonies agricoles; Colonisation; Économie rurale; 19e siècle-20e siècle (1re moitié); 1853-1956; Sétif (Algérie, région)",9827,La Compagnie genevoise des Colonies suisses de Sétif (1853-1956) : un cas de colonisation privée en Algérie,compagnie genevoise sétif genève colonies agricoles colonisation économie rurale e siècle-e siècle re moitié - algérie région,lützelschwab claude,La Compagnie genevoise des Colonies suisses de Sétif (1853-1956) : un cas de colonisation privée en Algérie lützelschwab claude compagnie genevoise sétif genève colonies agricoles colonisation économie rurale e siècle-e siècle re moitié - algérie région
9828,Registres du Consistoire de Genève au temps de Calvin.,,2600001670; 9782600001670,Librairie Droz,"consistoire protestant--discipline ecclésiastique--Calvin, Jean--Genève (Suisse, ville)--1542 / 1544--[document]",9828,Registres du Consistoire de Genève au temps de Calvi,consistoire protestant--discipline ecclésiastique--calvin jean--genève suisse ville-- --document,,Registres du Consistoire de Genève au temps de Calvi  consistoire protestant--discipline ecclésiastique--calvin jean--genève suisse ville-- --document
9829,Genesis /,"Wenham, Gordon J",0849902002; 9780849902000; 0849902010; 9780849902017,Word books,"""Bible. AT. Genèse"" [commentaire]; Bible. Genesis Commentaries.",9829,Genesis,bible at genèse commentaire genesis commentaries,wenham gordon j,Genesis wenham gordon j bible at genèse commentaire genesis commentaries
9830,L'Enéide /,"Vergilius, Publius Maro",9782226209108; 2226209107,Les Belles Lettres; A Michel,,9830,L'Enéide,,vergilius publius maro,L'Enéide vergilius publius maro 
9831,Métaphysique des moeurs /,"Kant, Immanuel",9782081445093; 2081445093; 9782081445109; 2081445107,Flammarion,,9831,Métaphysique des moeurs,,kant immanuel,Métaphysique des moeurs kant immanuel 
9832,Oeuvres complètes de Ernest Renan /,"Renan, Ernest",,Calmann-Lévy,,9832,Oeuvres complètes de Ernest Renan,,renan ernest,Oeuvres complètes de Ernest Renan renan ernest 
9833,La femme mystifiée /,"Friedan, Betty",9782714479976; 2714479979,Belfond,Féminisme--Etats-Unis--1945-1970; Discrimination sexuelle--Etats-Unis--1945-1970; Sociologie; Etats-Unis,9833,La femme mystifiée,féminisme--etats-unis--- discrimination sexuelle--etats-unis--- sociologie etats-unis,friedan betty,La femme mystifiée friedan betty féminisme--etats-unis--- discrimination sexuelle--etats-unis--- sociologie etats-unis
9834,"Donne-moi des Elles : en quête du matrimoine, un héritage au féminin /","Lesire, Caroline",9782889536504; 2889536505,Editions Jouvence,Femmes--Histoire; Féminisme,9834,"Donne-moi des Elles : en quête du matrimoine, un héritage au féminin",femmes--histoire féminisme,lesire caroline,"Donne-moi des Elles : en quête du matrimoine, un héritage au féminin lesire caroline femmes--histoire féminisme"
9835,Surveiller et punir : naissance de la prison /,"Foucault, Michel",9782070729685; 2070729680,Gallimard,"Damiens, Robert François; prison--18e s.; répression--société (milieu humain)--France--18e s.; punition--société (milieu humain)--France--18e s.",9835,Surveiller et punir : naissance de la prison,damiens robert françois prison--e s répression--société milieu humain--france--e punition--société,foucault michel,Surveiller et punir : naissance de la prison foucault michel damiens robert françois prison--e s répression--société milieu humain--france--e punition--société
9836,Filles-garçons : socialisation différenciée? /,,2706113103; 9782706113109,Presses universitaires de Grenoble,éducation--fille--garçon--[études diverses]; fille--garçon--socialisation--[études diverses]; sexe (genre) - différence--[études diverses],9836,Filles-garçons : socialisation différenciée?,éducation--fille--garçon--études diverses fille--garçon--socialisation--études sexe genre - différence--études,,Filles-garçons : socialisation différenciée?  éducation--fille--garçon--études diverses fille--garçon--socialisation--études sexe genre - différence--études
9837,"Queering bathrooms : gender, sexuality, and the hygienic imagination /","Cavanagh, Sheila L.",1442641541; 9781442641549; 1442610735; 9781442610736,University of Toronto Press,Public toilets--Sex differences; Public toilets--Social aspects; Gender identity; Sexual orientation; Toilettes publiques--Différences entre sexes.; Toilettes publiques--Aspect social.; Identité sexuelle.; Defecation; Urination; Sexual Behavior,9837,"Queering bathrooms : gender, sexuality, and the hygienic imagination",public toilets--sex differences toilets--social aspects gender identity sexual orientation toilettes publiques--différences sexes publiques--aspect social identité sexuelle defecation urination behavior,cavanagh sheila l,"Queering bathrooms : gender, sexuality, and the hygienic imagination cavanagh sheila l public toilets--sex differences toilets--social aspects gender identity sexual orientation toilettes publiques--différences sexes publiques--aspect social identité sexuelle defecation urination behavior"
9838,"Lieux de folie, monuments de raison : architecture et psychiatrie en Suisse romande, 1830-1930 /","Fussinger, Catherine",2880743575; 9782880743574,Presses polytechniques et universitaires romandes,"architecture--hôpital psychiatrique--Suisse romande--1830 / 1930; psychiatrie--Suisse romande--1830 / 1930; Architecture; Hospital Design and Construction; Hospitals, Psychiatric; History, 19th Century; Psychiatry; Hospital Design and Construction--history; Hospitals, Psychiatric--history; Psychiatry--instrumentation; Psychiatry--history; Switzerland; Suisse romande; Exhibition",9838,"Lieux de folie, monuments de raison : architecture et psychiatrie en Suisse romande, 1830-1930",architecture--hôpital psychiatrique--suisse romande-- psychiatrie--suisse architecture hospital design and construction hospitals psychiatric history th century psychiatry construction--history psychiatric--history psychiatry--instrumentation psychiatry--history switzerland suisse romande exhibition,fussinger catherine,"Lieux de folie, monuments de raison : architecture et psychiatrie en Suisse romande, 1830-1930 fussinger catherine architecture--hôpital psychiatrique--suisse romande-- psychiatrie--suisse architecture hospital design and construction hospitals psychiatric history th century psychiatry construction--history psychiatric--history psychiatry--instrumentation psychiatry--history switzerland suisse romande exhibition"
9839,Peter Zumthor : réalisations et projets /,,9783858817402; 3858817406,Scheidegger & Spiess,"Zumthor, Peter; Dessin d'architecture; Projets d'architecture; 1985-2013; [Catalogues raisonnés]",9839,Peter Zumthor : réalisations et projets,zumthor peter dessin darchitecture projets - catalogues raisonnés,,Peter Zumthor : réalisations et projets  zumthor peter dessin darchitecture projets - catalogues raisonnés
9840,L'art nouveau /,"Leniaud, Jean-Michel",9782850884436; 285088443X,Citadelles & Mazenod,art européen--art nouveau; architecture--art nouveau,9840,L'art nouveau,art européen--art architecture--art,leniaud jean-michel,L'art nouveau leniaud jean-michel art européen--art architecture--art
9841,Les immobilisées : les femmes suisses durant la Seconde Guerre mondiale : essai historique /,"Pavillon, Monique",2829001214; 9782829001215,Cedips; Ed d'en Bas,femme--travail--Suisse--1939 / 1945,9841,Les immobilisées : les femmes suisses durant la Seconde Guerre mondiale : essai historique,femme--travail--suisse--,pavillon monique,Les immobilisées : les femmes suisses durant la Seconde Guerre mondiale : essai historique pavillon monique femme--travail--suisse--
9842,"La femme illustrée des années 20 : essai sur l'interprétation de l'image des femmes dans la presse illustrée, 1920-1930 /","Pavillon, Monique",,Section d'histoire Université de Lausanne,femme - image--presse--Suisse--1920 / 1930,9842,"La femme illustrée des années 20 : essai sur l'interprétation de l'image des femmes dans la presse illustrée, 1920-1930",femme - image--presse--suisse--,pavillon monique,"La femme illustrée des années 20 : essai sur l'interprétation de l'image des femmes dans la presse illustrée, 1920-1930 pavillon monique femme - image--presse--suisse--"
9843,"La projection du monde : réflexions sur l’ontologie du cinéma ; suivi de Suppléments à ""La projection du monde"" /","Cavell, Stanley",9782711628926; 2711628922,Vrin,Philosophie et cinéma,9843,"La projection du monde : réflexions sur l’ontologie du cinéma ; suivi de Suppléments à ""La projection du monde""",philosophie cinéma,cavell stanley,"La projection du monde : réflexions sur l’ontologie du cinéma ; suivi de Suppléments à ""La projection du monde"" cavell stanley philosophie cinéma"
9844,Camérer : à propos d'images /,"Deligny, Fernand",9782373670172; 2373670178,L'Arachnéen,"Deligny, Fernand; Cinéma--Esthétique; Théorie du cinéma",9844,Camérer : à propos d'images,deligny fernand cinéma--esthétique théorie cinéma,deligny fernand,Camérer : à propos d'images deligny fernand deligny fernand cinéma--esthétique théorie cinéma
9845,L'art de la lecture à haute voix /,"Clémot, Blandine",9.7911E+12,Les Acteurs du savoir,Lecture à haute voix--Guides pratiques,9845,L'art de la lecture à haute voix,lecture haute voix--guides pratiques,clémot blandine,L'art de la lecture à haute voix clémot blandine lecture haute voix--guides pratiques
9846,Dire et vouloir dire : livre d'essais /,"Cavell, Stanley",9782204088435; 2204088439,Ed du Cerf,philosophie analytique; philosophie du langage ordinaire; acte de langage--* philosophie du langage,9846,Dire et vouloir dire : livre d'essais,philosophie analytique langage ordinaire acte langage--,cavell stanley,Dire et vouloir dire : livre d'essais cavell stanley philosophie analytique langage ordinaire acte langage--
9847,Introduction à l'ethnologie et à l'anthropologie /,"Copans, Jean",2200622805; 9782200622800,Armand Colin,Anthropologie; Ethnologie; Ethnology; Anthropology; Manuels d'enseignement supérieur,9847,Introduction à l'ethnologie et à l'anthropologie,anthropologie ethnologie ethnology anthropology manuels denseignement supérieur,copans jean,Introduction à l'ethnologie et à l'anthropologie copans jean anthropologie ethnologie ethnology anthropology manuels denseignement supérieur
9848,La société est en nous : comment le monde social engendre des individus /,"Lignier, Wilfried",9782021533248; 2021533247,Seuil,Individu et société.; Interaction sociale.; Personnalité.; Socialisation.,9848,La société est en nous : comment le monde social engendre des individus,individu société interaction sociale personnalité socialisation,lignier wilfried,La société est en nous : comment le monde social engendre des individus lignier wilfried individu société interaction sociale personnalité socialisation
9849,Blutbuch : Roman /,"De l'Horizon, Kim 1992-....",383218208X; 9783832182083,DuMont,,9849,Blutbuch : Roman,,lhorizon kim -,Blutbuch : Roman lhorizon kim - 
9850,Entraide judiciaire internationale en matière pénale : précis de droit suisse /,"Ludwiczak, Maria",9783719041427; 3719041425,Helbing Lichtenhahn,Rechtshilfe in Strafsachen; international; Schweiz; Grundlagenwerk,9850,Entraide judiciaire internationale en matière pénale : précis de droit suisse,rechtshilfe in strafsachen international schweiz grundlagenwerk,ludwiczak maria,Entraide judiciaire internationale en matière pénale : précis de droit suisse ludwiczak maria rechtshilfe in strafsachen international schweiz grundlagenwerk
9851,"Droit pénal général : théorie, tableaux synoptiques, méthodologie de résolution de cas pénaux, lexique pénal, répertoire des termes allemands /","Hurtado Pozo, José, 1942-",9783725587421; 3725587426,Schulthess éd romandes,Droit pénal; allgemeines Strafrecht; Suisse; Schweiz; [Manuels d'enseignement supérieur]; Lehrmittel,9851,"Droit pénal général : théorie, tableaux synoptiques, méthodologie de résolution de cas pénaux, lexique pénal, répertoire des termes allemands",droit pénal allgemeines strafrecht suisse schweiz manuels denseignement supérieur lehrmittel,hurtado pozo josé -,"Droit pénal général : théorie, tableaux synoptiques, méthodologie de résolution de cas pénaux, lexique pénal, répertoire des termes allemands hurtado pozo josé - droit pénal allgemeines strafrecht suisse schweiz manuels denseignement supérieur lehrmittel"
9852,"Memento de droit civil : droit des personnes physiques, de la famille et des successions /","Baddeley, Margareta juriste",9783719035495; 3719035492,Helbing Lichtenhahn,Personnes (droit); Famille; Successions et héritages; Droit; Erbrecht; Familienrecht; natürliche Person; Suisse; Schweiz; [Manuels d'enseignement supérieur],9852,"Memento de droit civil : droit des personnes physiques, de la famille et des successions",personnes droit famille successions héritages erbrecht familienrecht natürliche person suisse schweiz manuels denseignement supérieur,baddeley margareta juriste,"Memento de droit civil : droit des personnes physiques, de la famille et des successions baddeley margareta juriste personnes droit famille successions héritages erbrecht familienrecht natürliche person suisse schweiz manuels denseignement supérieur"
9853,Procédure pénale suisse : tables pour les études et la pratique /,,9783719031022; 3719031020,Helbing Lichtenhahn,procédure pénale--Suisse--[manuel]; Strafprozess; Bundesrecht; Schweiz; Grundlagenwerk; Lehrmittel,9853,Procédure pénale suisse : tables pour les études et la pratique,procédure pénale--suisse--manuel strafprozess bundesrecht schweiz grundlagenwerk lehrmittel,,Procédure pénale suisse : tables pour les études et la pratique  procédure pénale--suisse--manuel strafprozess bundesrecht schweiz grundlagenwerk lehrmittel
9854,CPC : le Code de procédure civile /,"Hofmann, David",9783727289200; 3727289201,Stämpfli Verlag,Procédure civile; Suisse; [Manuels d'enseignement supérieur]; Zivilprozess; schweizerische Zivilprozessordnung; Schweiz; Grundlagenwerk,9854,CPC : le Code de procédure civile,procédure civile suisse manuels denseignement supérieur zivilprozess schweizerische zivilprozessordnung schweiz grundlagenwerk,hofmann david,CPC : le Code de procédure civile hofmann david procédure civile suisse manuels denseignement supérieur zivilprozess schweizerische zivilprozessordnung schweiz grundlagenwerk
9855,"Costantino e i Costantinidi, l'innovazione costantiniana, le sue radici e i suoi sviluppi : acta XVI Congressus internationalis archaeologiae christianae (Romae 22-28.9.2013) /",,,PIAC,Antiquités chrétiennes; Actes de congrès,9855,"Costantino e i Costantinidi, l'innovazione costantiniana, le sue radici e i suoi sviluppi : acta XVI Congressus internationalis archaeologiae christianae (Romae 22-28.9.2013)",antiquités chrétiennes actes congrès,,"Costantino e i Costantinidi, l'innovazione costantiniana, le sue radici e i suoi sviluppi : acta XVI Congressus internationalis archaeologiae christianae (Romae 22-28.9.2013)  antiquités chrétiennes actes congrès"
9856,Histoire de Rome : depuis le règne de Nerva jusqu'à la mort de Valens (96-378) /,Ammianus Marcellinus,2913944779; 9782913944770; 2913944787; 9782913944787; 2913944876; 9782913944879,Paleo,,9856,Histoire de Rome : depuis le règne de Nerva jusqu'à la mort de Valens (96-378),,ammianus marcellinus,Histoire de Rome : depuis le règne de Nerva jusqu'à la mort de Valens (96-378) ammianus marcellinus 
9857,"Archéologie du bâti : histoire et épistémologie des origines à nos jours (France, Italie, Suisse) /","Vanetti, Alice",9782364413870; 2364413877,Editions universitaires de Dijon,"Architecture médiévale; Architecture, Medieval; Archaeology, Medieval; Urban archaeology",9857,"Archéologie du bâti : histoire et épistémologie des origines à nos jours (France, Italie, Suisse)",architecture médiévale medieval archaeology urban,vanetti alice,"Archéologie du bâti : histoire et épistémologie des origines à nos jours (France, Italie, Suisse) vanetti alice architecture médiévale medieval archaeology urban"
9858,Auf der Schwelle des Fremden : das Leben der Annemarie Schwarzenbach /,"Schwarzenbach, Alexis",9783899103687; 3899103688,Collection Rolf Heyn,"Schwarzenbach, Annemarie--[biographie]; Schwarzenbach, Annemarie--[iconographie]",9858,Auf der Schwelle des Fremden : das Leben der Annemarie Schwarzenbach,schwarzenbach annemarie--biographie annemarie--iconographie,schwarzenbach alexis,Auf der Schwelle des Fremden : das Leben der Annemarie Schwarzenbach schwarzenbach alexis schwarzenbach annemarie--biographie annemarie--iconographie
9859,"Écriture et maladie : ""du bon usage des maladies"" /",,2911416767; 9782911416767,Ed Imago,création--littérature--maladie - influence exercée; écrivain--maladie - influence exercée; [Études diverses],9859,"Écriture et maladie : ""du bon usage des maladies""",création--littérature--maladie - influence exercée écrivain--maladie études diverses,,"Écriture et maladie : ""du bon usage des maladies""  création--littérature--maladie - influence exercée écrivain--maladie études diverses"
9860,Apologie des sens /,"Powys, John Cowper",2720200522; 9782720200526,J-J Pauvert,,9860,Apologie des sens,,powys john cowper,Apologie des sens powys john cowper 
9861,"""Maman, tu dois lire mon livre"" : Annemarie Schwarzenbach, sa mère et sa grand-mère /","Schwarzenbach, Alexis",9782883401723; 2883401721,Metropolis,"Schwarzenbach-Wille, Renée--[biographie]; Schwarzenbach, Annemarie",9861,"""Maman, tu dois lire mon livre"" : Annemarie Schwarzenbach, sa mère et sa grand-mère",schwarzenbach-wille renée--biographie schwarzenbach annemarie,schwarzenbach alexis,"""Maman, tu dois lire mon livre"" : Annemarie Schwarzenbach, sa mère et sa grand-mère schwarzenbach alexis schwarzenbach-wille renée--biographie schwarzenbach annemarie"
9862,Une philosophie de la solitude /,"Powys, John Cowper",2729101349; 9782729101343,Ed de la Différence,soi--* philosophie,9862,Une philosophie de la solitude,soi-- philosophie,powys john cowper,Une philosophie de la solitude powys john cowper soi-- philosophie
9863,Le livre de la lune /,"Alberny, Renaud",9782723473187; 272347318X,Glénat,exploration spatiale--lune--vol spatial habité; exploration spatiale--lune--vol spatial habité--[photographies]; lune; lune--mythologie,9863,Le livre de la lune,exploration spatiale--lune--vol spatial habité habité--photographies lune lune--mythologie,alberny renaud,Le livre de la lune alberny renaud exploration spatiale--lune--vol spatial habité habité--photographies lune lune--mythologie
9864,Au clair de Lune /,"Mettra, Claude",2841567117; 9782841567119,Le Pérégrinateur,lune--[photographies]; lune,9864,Au clair de Lune,lune--photographies lune,mettra claude,Au clair de Lune mettra claude lune--photographies lune
9865,Soleil /,"Ngô, Christian",2213619042; 9782213619040,Cité des sciences et de l'industrie; Fayard,soleil--[catalogue d'exposition],9865,Soleil,soleil--catalogue dexposition,ngô christian,Soleil ngô christian soleil--catalogue dexposition
9866,The miraculous journey of Mahomet : Mirâj Nâmeh : Bibliothèque Nationale Paris (Manuscrit Supplément Turc 190) /,,0807608688; 9780807608685,G Brazillier,,9866,The miraculous journey of Mahomet : Mirâj Nâmeh : Bibliothèque Nationale Paris (Manuscrit Supplément Turc 190),,,The miraculous journey of Mahomet : Mirâj Nâmeh : Bibliothèque Nationale Paris (Manuscrit Supplément Turc 190)  
9867,Proses éparses /,"Roud, Gustave, 1897-1976",,Imprimerie des Arts et Métiers; Association des amis de Gustave Roud,,9867,Proses éparses,,roud gustave -,Proses éparses roud gustave - 
9868,Des phrases ailées : et autres essais /,"Woolf, Virginia",9782358730808; 2358730807,le Bruit du temps,"Woolf, Virginia; [Anthologies]",9868,Des phrases ailées : et autres essais,woolf virginia anthologies,woolf virginia,Des phrases ailées : et autres essais woolf virginia woolf virginia anthologies
9869,Edith Boissonnas : l'écriture à l'état brut /,,9782940563517; 2940563519,MétisPresses,"Boissonnas, Edith--Critique et interprétation",9869,Edith Boissonnas : l'écriture à l'état brut,boissonnas edith--critique interprétation,,Edith Boissonnas : l'écriture à l'état brut  boissonnas edith--critique interprétation
